Source,open,high,low,close,volume
2023-04-01,28460.1,28815.32,28218.91,28452.75,913.66801
2023-04-02,28449.0,28530.76,27854.49,28176.4,1189.9971
2023-04-03,28177.46,28500.29,27265.0,27806.67,3575.72719
2023-04-04,27793.56,28440.3,27654.08,28164.56,2375.33862
2023-04-05,28157.88,28770.27,27828.89,28166.68,2440.36142
2023-04-06,28166.68,28185.68,27711.66,28031.19,1433.80828
2023-04-07,28033.82,28104.6,27763.3,27901.7,822.73371
2023-04-08,27901.59,28156.05,27854.98,27941.17,376.18819
2023-04-09,27935.62,28531.54,27797.43,28324.72,854.09292
2023-04-10,28324.4,29769.78,28159.33,29642.28,1858.429484
2023-04-11,29636.58,30560.6,29589.23,30196.78,2445.705852
2023-04-12,30196.78,30482.07,29650.0,29891.39,2395.59523
2023-04-13,29891.39,30583.58,29851.17,30376.49,2115.014824
2023-04-14,30378.69,31015.88,29966.04,30461.9,3084.714799
2023-04-15,30466.38,30596.82,30199.57,30293.1,862.57072
2023-04-16,30296.76,30547.63,30118.55,30301.91,1069.92307
2023-04-17,30300.78,30322.57,29240.22,29429.64,2358.13101
2023-04-18,29429.64,30486.46,29095.3,30381.36,3380.29609
2023-04-19,30382.2,30409.62,28574.5,28798.07,4498.91245
2023-04-20,28796.0,29083.99,27999.36,28240.95,3391.78918
2023-04-21,28240.95,28370.56,27136.94,27263.02,3530.68713
2023-04-22,27259.36,27881.46,27144.51,27818.2,1630.99713
2023-04-23,27813.95,27819.65,27333.08,27588.59,1748.96198
2023-04-24,27587.87,27998.15,26962.3,27512.82,3403.33245
2023-04-25,27512.18,28391.62,27191.21,28296.98,2977.17603
2023-04-26,28303.19,30030.41,27249.0,28418.62,6455.58602
2023-04-27,28419.14,29896.44,28377.78,29475.32,3965.41484
2023-04-28,29476.82,29593.39,28885.61,29312.93,1854.90346
2023-04-29,29317.65,29444.4,29038.97,29228.32,569.11839
2023-04-30,29228.38,29962.87,29088.14,29224.89,1295.21726
2023-05-01,29237.64,29334.06,27667.89,28073.3,2107.08053
2023-05-02,28068.26,28881.04,27869.8,28671.76,1585.44208
2023-05-03,28669.63,29266.83,28120.0,29030.86,2945.05292
2023-05-04,29030.55,29381.71,28663.22,28838.07,1434.38754
2023-05-05,28847.85,29678.6,28804.94,29504.4,1956.51079
2023-05-06,29505.43,29831.41,28333.15,28846.33,1278.7991
2023-05-07,28846.33,29133.92,28398.29,28426.29,895.69981
2023-05-08,28434.44,28631.55,27264.83,27669.62,2380.08777
2023-05-09,27658.38,27821.31,27351.56,27623.4,540.5754
2023-05-10,27632.61,28316.76,26839.91,27599.6,641.37046
2023-05-11,27592.89,27624.39,26713.98,26972.18,448.66664
2023-05-12,26972.63,27083.96,25816.67,26790.85,635.89815
2023-05-13,26801.54,27038.75,26688.04,26779.72,239.0358
2023-05-14,26769.29,27200.0,26575.51,26914.59,336.79274
2023-05-15,26917.28,27660.54,26734.85,27164.79,644.40195
2023-05-16,27158.37,27294.73,26841.8,27035.73,429.9884
2023-05-17,27035.73,27496.07,26546.47,27405.87,721.83
2023-05-18,27407.94,27484.31,26328.2,26820.9,698.56373
2023-05-19,26822.07,27173.0,26639.22,26880.33,373.31201
2023-05-20,26885.35,27156.6,26824.96,27100.7,148.42648
2023-05-21,27106.16,27275.06,26670.33,26746.96,334.04825
2023-05-22,26740.5,27092.02,26539.18,26853.73,833.0665
2023-05-23,26847.43,27493.33,26800.0,27224.87,1027.44256
2023-05-24,27223.34,27223.34,26080.19,26331.72,989.83037
2023-05-25,26321.61,26621.37,25873.88,26473.26,754.58955
2023-05-26,26479.19,26933.45,26328.31,26701.03,515.97944
2023-05-27,26707.46,26888.0,26555.0,26855.5,242.07005
2023-05-28,26857.06,28256.38,26768.59,28063.46,585.09302
2023-05-29,28069.22,28444.71,27526.32,27738.83,811.60832
2023-05-30,27737.94,28041.41,27556.7,27696.3,715.64459
2023-05-31,27688.81,27834.35,26832.67,27213.15,899.40734
2023-06-01,27213.15,27347.62,26611.33,26815.41,682.48871
2023-06-02,26812.5,27298.4,26500.0,27241.48,583.12988
2023-06-03,27245.09,27325.93,26913.43,27068.35,246.40205
2023-06-04,27068.35,27454.7,26952.6,27124.27,283.16666
2023-06-05,27107.75,27133.99,25395.44,25725.97,836.83073
2023-06-06,25733.56,27274.2,25355.82,27235.2,800.25667
2023-06-07,27240.65,27363.71,26270.41,26344.3,371.26585
2023-06-08,26344.5,26793.17,26246.4,26525.73,137.95613
2023-06-09,26525.71,26762.26,26305.9,26504.97,251.90923
2023-06-10,26505.11,26544.0,25551.4,25849.51,253.88218
2023-06-11,25842.28,26192.22,25689.58,25919.52,154.07575
2023-06-12,25933.43,26081.0,25675.0,25925.43,193.8055
2023-06-13,25925.43,26356.07,25738.31,25924.41,186.40563
2023-06-14,25925.46,26098.35,25019.04,25124.36,234.26558
2023-06-15,25132.59,25722.99,24817.35,25595.96,217.78144
2023-06-16,25605.96,26452.16,25289.67,26354.99,186.12735
2023-06-17,26354.98,26763.68,26078.69,26537.1,99.41706
2023-06-18,26515.99,26707.24,26296.39,26349.44,95.2113
2023-06-19,26349.44,26995.37,26272.97,26832.67,109.95144
2023-06-20,26824.1,28419.28,26628.01,28316.76,310.47523
2023-06-21,28322.72,138070.0,28259.32,30009.46,518.0493
2023-06-22,30009.0,30533.01,29800.0,29922.22,292.202
2023-06-23,29907.0,31392.15,29850.0,30660.0,287.12504
2023-06-24,30671.38,30841.7,30290.19,30527.01,111.16373
2023-06-25,30540.7,30994.44,30344.0,30470.93,135.44209
2023-06-26,30449.56,30660.2,29944.0,30275.0,130.72946
2023-06-27,30275.0,30974.22,30234.53,30707.77,137.63916
2023-06-28,30688.0,30715.84,29890.0,30098.93,186.45661
2023-06-29,30081.95,30818.0,30043.0,30430.01,240.3208
2023-06-30,30430.01,31239.69,30034.0,30476.8,373.70658
2023-07-01,30476.83,30656.4,30338.23,30604.99,104.99358
2023-07-02,30604.97,30777.01,30300.0,30625.0,121.66079
2023-07-03,30626.45,31375.14,30576.02,31160.0,164.70626
2023-07-04,31161.68,31338.99,30642.28,30780.94,125.17742
2023-07-05,30775.0,30860.03,30203.84,30514.97,130.42412
2023-07-06,30504.99,31380.0,29800.5,29895.19,342.12422
2023-07-07,29913.57,30446.25,29712.21,30360.58,206.35585
2023-07-08,30361.35,30400.82,30072.7,30280.01,138.85526
2023-07-09,30293.97,30438.56,30088.13,30194.99,98.20702
2023-07-10,30194.99,31030.52,30000.0,30435.98,233.90207
2023-07-11,30432.99,30795.03,30379.59,30626.01,139.31124
2023-07-12,30619.88,30955.77,30220.32,30365.0,201.248
2023-07-13,30369.0,32000.0,30267.71,31454.17,404.61645
2023-07-14,31449.99,31526.12,29955.43,30313.0,385.41818
2023-07-15,30313.0,30375.74,30237.0,30288.46,79.04124
2023-07-16,30294.99,30432.33,30069.13,30225.15,123.73596
2023-07-17,30236.18,30330.38,29667.69,30154.58,223.9924
2023-07-18,30154.57,30225.0,29689.0,29864.32,205.57209
2023-07-19,29876.36,30172.82,29765.84,29925.02,177.27548
2023-07-20,29944.72,30414.4,29566.71,29809.99,248.87074
2023-07-21,29809.99,30052.74,29730.0,29899.99,134.00071
2023-07-22,29899.99,29985.79,29680.0,29785.02,80.28221
2023-07-23,29798.25,30330.0,29745.01,30079.91,150.46982
2023-07-24,30079.91,30101.56,28865.83,29175.51,268.99459
2023-07-25,29189.43,29373.78,29050.05,29215.05,96.05095
2023-07-26,29229.96,29636.38,29100.0,29352.35,212.83988
2023-07-27,29354.04,29580.15,29085.44,29220.01,114.03322
2023-07-28,29234.69,29535.0,29120.0,29310.22,85.97708
2023-07-29,29324.85,29411.42,29254.66,29345.0,51.74605
2023-07-30,29347.23,29434.09,29045.16,29290.11,83.47218
2023-07-31,29280.01,29500.0,29110.37,29227.24,125.57218
2023-08-01,29238.43,29600.0,28589.26,29600.0,263.82671
2023-08-02,29600.0,30028.43,28916.79,29185.0,283.23607
2023-08-03,29185.0,29432.06,28968.2,29194.99,160.8989
2023-08-04,29186.28,29329.03,28969.74,29119.99,128.25689
2023-08-05,29119.98,29185.5,28985.71,29065.97,69.35806
2023-08-06,29065.02,29198.7,29000.16,29091.77,96.32926
