Source,open,high,low,close,volume
2020-03-01,8523.66,8746.82,8428.7,8545.65,62.480797
2020-03-02,8525.48,8963.39,8502.03,8900.76,75.481934
2020-03-03,8913.63,8919.44,8660.53,8758.86,99.933376
2020-03-04,8765.54,8844.36,8672.76,8748.23,69.532432
2020-03-05,8765.21,9152.18,8765.21,9062.79,94.383394
2020-03-06,9051.95,9170.84,8993.59,9140.03,62.796637
2020-03-07,9140.03,9199.13,8847.87,8886.71,77.674978
2020-03-08,8885.47,8885.47,8003.84,8036.46,127.36534
2020-03-09,8036.65,8175.98,7642.21,7939.79,304.948987
2020-03-10,7939.82,8140.35,7736.58,7888.99,146.684987
2020-03-11,7880.0,7977.46,7597.21,7926.4,114.702022
2020-03-12,7950.14,7956.4,4510.0,4824.58,2078.443533
2020-03-14,5583.79,5626.0,5053.25,5169.45,183.878643
2020-03-15,5172.68,5943.59,5101.05,5365.04,306.334772
2020-03-16,5326.48,5361.94,4426.37,5023.0,525.896332
2020-03-17,5018.11,5522.61,4950.17,5320.37,307.111606
2020-03-18,5337.47,5437.71,5000.05,5390.21,567.576802
2020-03-19,5394.56,6397.65,5252.01,6179.03,480.699799
2020-03-20,6166.81,6904.12,5685.74,6205.0,542.741617
2020-03-21,6208.38,6451.84,5871.38,6165.0,349.50878
2020-03-22,6148.07,6403.69,5762.84,5818.52,382.082858
2020-03-23,5810.22,6586.88,5696.92,6481.71,325.910685
2020-03-24,6499.47,6830.63,6387.89,6749.94,193.537502
2020-03-25,6744.53,6954.56,6474.17,6695.91,179.296648
2020-03-26,6700.0,6772.38,6517.01,6734.11,176.751321
2020-03-27,6750.08,6836.61,6275.59,6365.87,156.399686
2020-03-28,6359.77,6359.77,6032.28,6243.16,282.316189
2020-03-29,6241.06,6266.95,5867.15,5876.82,245.719311
2020-03-30,5895.02,6607.25,5862.32,6386.47,374.646417
2020-03-31,6387.83,6516.79,6334.59,6434.43,200.191905
2020-04-01,6419.08,6679.96,6152.38,6641.0,244.83346
2020-04-02,6649.73,7226.02,6558.62,6826.94,569.861637
2020-04-03,6786.0,7035.95,6607.95,6721.11,374.740512
2020-04-04,6725.64,6996.58,6654.02,6862.65,278.684236
2020-04-05,6891.57,6891.57,6674.97,6771.41,129.581436
2020-04-06,6767.44,7347.0,6767.44,7332.68,271.71646
2020-04-07,7325.21,7450.93,7084.68,7197.12,193.637296
2020-04-08,7198.53,7419.96,7155.97,7363.77,137.537852
2020-04-09,7360.5,7368.22,7108.22,7283.68,73.043289
2020-04-10,7280.13,7288.54,6750.0,6857.58,94.517529
2020-04-11,6864.09,6935.07,6758.95,6881.93,46.401843
2020-04-12,6900.23,7175.38,6782.41,6894.29,91.2665
2020-04-13,6883.46,6883.78,6564.42,6836.5,115.760435
2020-04-14,6837.6,6971.0,6767.66,6857.32,63.647023
2020-04-15,6865.7,6926.82,6609.01,6631.75,80.44159
2020-04-16,6612.81,7201.47,6480.0,7100.0,282.056698
2020-04-17,7100.0,7145.41,6990.73,7036.17,71.961671
2020-04-18,7026.47,7293.89,7017.63,7248.61,75.897316
2020-04-19,7256.84,7267.46,7057.69,7121.6,66.48976
2020-04-20,7120.85,7215.0,6750.0,6828.56,147.097576
2020-04-21,6823.57,6934.46,6761.06,6845.56,183.05607
2020-04-22,6841.33,7154.79,6819.58,7124.66,84.760407
2020-04-23,7130.11,7752.45,7029.33,7480.05,206.001356
2020-04-24,7484.46,7658.78,7401.05,7497.34,110.173282
2020-04-25,7506.54,7720.52,7437.46,7541.17,98.724925
2020-04-26,7537.51,7705.38,7461.99,7694.13,88.994885
2020-04-27,7695.78,7791.73,7628.24,7775.57,75.132129
2020-04-28,7777.05,7782.01,7670.15,7748.5,44.404302
2020-04-29,7742.68,8955.58,7713.01,8778.63,320.888147
2020-04-30,8782.65,9450.76,8404.31,8630.86,384.675439
2020-05-01,8628.07,9051.55,8617.99,8817.65,137.638493
2020-05-02,8818.22,9014.77,8757.77,8972.68,59.469765
2020-05-03,8973.85,9196.27,8718.08,8887.35,210.049083
2020-05-04,8896.62,8954.26,8528.63,8868.92,198.32248
2020-05-05,8878.25,9105.2,8772.22,9027.64,133.86243
2020-05-06,9022.44,9396.16,8918.99,9145.93,242.577093
2020-05-07,9132.52,10063.93,9010.0,9991.11,340.351689
2020-05-08,10001.44,10032.58,9717.86,9810.32,138.251436
2020-05-09,9805.88,9900.0,9507.03,9539.68,145.785194
2020-05-10,9531.93,9569.31,8127.14,8726.3,600.65983
2020-05-11,8730.15,9162.08,8200.0,8561.03,399.574609
2020-05-12,8560.18,8973.14,8533.72,8810.0,153.606379
2020-05-13,8808.62,9398.12,8800.91,9295.0,167.297195
2020-05-14,9305.22,9936.94,9264.35,9792.25,247.695074
2020-05-15,9796.68,9839.59,9142.29,9311.55,314.061281
2020-05-16,9314.71,9574.09,9224.81,9387.32,136.890462
2020-05-17,9384.97,9883.77,9340.55,9675.9,192.143024
2020-05-18,9682.67,9953.2,9433.42,9735.91,228.596217
2020-05-19,9738.69,9893.93,9476.26,9771.9,166.998021
2020-05-20,9776.96,9836.6,9318.19,9520.76,186.184663
2020-05-21,9506.65,9564.73,8823.84,9058.33,241.577746
2020-05-22,9057.15,9260.9,8940.0,9169.41,124.68715
2020-05-23,9166.81,9302.52,9091.22,9174.47,57.329497
2020-05-24,9177.48,9297.7,8684.62,8716.23,189.507228
2020-05-25,8714.75,8979.62,8646.82,8890.24,176.878932
2020-05-26,8900.59,9013.41,8704.33,8839.14,92.653075
2020-05-27,8842.15,9225.75,8820.0,9202.0,109.34668
2020-05-28,9205.0,9621.93,9115.16,9578.52,134.297435
2020-05-29,9579.0,9603.73,9315.99,9424.31,74.027066
2020-05-30,9424.49,9739.0,9342.66,9698.33,116.297491
2020-05-31,9701.31,9701.84,9398.65,9469.22,93.62073
2020-06-01,9449.84,10370.58,9424.72,10195.38,204.162993
2020-06-02,10200.0,10220.0,9283.85,9522.74,333.598459
2020-06-03,9514.23,9685.01,9391.9,9652.01,78.968367
2020-06-04,9669.5,9880.8,9455.0,9792.39,120.887073
2020-06-05,9790.74,9849.29,9602.38,9628.52,110.72022
2020-06-06,9613.97,9733.85,9537.9,9661.48,74.655262
2020-06-07,9667.25,9818.8,9365.7,9748.82,147.422656
2020-06-08,9750.29,9801.01,9633.08,9774.31,78.641054
2020-06-09,9781.05,9872.56,9560.14,9772.99,140.769326
2020-06-10,9764.48,9986.78,9695.99,9886.32,149.387852
2020-06-11,9886.35,9958.93,9081.1,9269.7,257.614062
2020-06-12,9258.29,9549.99,9242.21,9463.82,126.715209
2020-06-13,9463.82,9489.97,9351.22,9465.95,39.62649
2020-06-14,9462.31,9462.31,9245.04,9346.38,62.17131
2020-06-15,9323.26,9495.0,8923.23,9430.51,149.844349
2020-06-16,9421.95,9587.03,9377.5,9529.1,96.535418
2020-06-17,9528.14,9564.15,9250.0,9463.47,87.384654
2020-06-18,9463.85,9483.41,9286.73,9390.23,49.784917
2020-06-19,9385.73,9438.96,9242.62,9314.01,77.608082
2020-06-20,9307.95,9396.76,9167.99,9353.98,46.640534
2020-06-21,9358.32,9417.09,9283.57,9294.41,42.988649
2020-06-22,9291.44,9777.15,9271.84,9680.86,119.48478
2020-06-23,9689.28,9716.54,9550.0,9613.86,48.806607
2020-06-24,9625.71,9662.99,9211.35,9308.03,147.900737
2020-06-25,9294.78,9334.94,9002.74,9254.68,111.484607
2020-06-26,9249.2,9295.87,9050.0,9161.8,95.466447
2020-06-27,9162.35,9195.6,8835.06,9009.86,144.180415
2020-06-28,8993.25,9191.26,8943.61,9118.09,62.387264
2020-06-29,9119.02,9238.72,9027.5,9182.67,61.122479
2020-06-30,9198.47,9199.66,9063.2,9132.51,52.005473
2020-07-01,9132.29,9289.52,9090.31,9231.97,90.950834
2020-07-02,9232.35,9257.75,8948.28,9085.99,107.69768
2020-07-03,9080.24,9121.51,9042.4,9058.26,38.005977
2020-07-04,9056.63,9191.9,9043.13,9139.68,64.979986
2020-07-05,9137.3,9141.86,8909.4,9075.83,84.816948
2020-07-06,9067.38,9369.88,9056.59,9344.62,114.066302
2020-07-07,9344.15,9377.18,9206.54,9258.09,52.013121
2020-07-08,9262.19,9464.26,9233.38,9425.13,120.262634
2020-07-09,9429.96,9432.63,9170.0,9234.39,68.515538
2020-07-10,9232.87,9315.3,9125.78,9285.54,70.074404
2020-07-11,9288.49,9298.97,9180.0,9233.85,28.973751
2020-07-12,9230.97,9342.64,9159.78,9300.0,67.36077
2020-07-13,9300.0,9342.86,9198.53,9241.03,134.614116
2020-07-14,9241.88,9279.55,9107.84,9255.02,76.47142
2020-07-15,9254.55,9274.12,9159.37,9201.51,56.09703
2020-07-16,9196.53,9221.29,9043.3,9130.79,51.932473
2020-07-17,9135.09,9181.95,9089.05,9153.08,26.467403
2020-07-18,9147.68,9205.47,9122.89,9164.84,33.498036
2020-07-19,9170.52,9230.85,9106.76,9210.99,33.556284
2020-07-20,9215.16,9220.16,9136.12,9162.0,49.3685
2020-07-21,9162.0,9431.33,9154.02,9386.46,137.426654
2020-07-22,9388.52,9541.97,9285.13,9518.56,87.148336
2020-07-23,9520.51,9661.18,9450.0,9608.7,95.568669
2020-07-24,9601.25,9633.98,9474.37,9542.14,81.623787
2020-07-25,9541.82,9729.47,9535.47,9699.66,135.852592
2020-07-26,9689.94,10130.38,9652.79,9919.91,240.596076
2020-07-27,9933.23,11387.17,9923.16,11025.59,1050.896514
2020-07-28,11032.42,11236.42,10587.94,10912.79,528.408639
2020-07-29,10908.96,11339.99,10833.19,11100.0,159.445256
2020-07-30,11083.58,11168.31,10833.85,11100.77,84.020996
2020-07-31,11100.76,11436.77,10963.8,11342.27,120.559704
2020-08-01,11339.93,11857.49,11229.46,11807.44,181.397571
2020-08-02,11795.37,12106.78,10601.02,11051.39,331.082702
2020-08-03,11071.37,11474.76,10930.95,11218.62,151.111532
2020-08-04,11219.18,11414.12,11017.99,11174.62,136.617914
2020-08-05,11190.23,11779.04,11091.69,11749.51,169.299941
2020-08-06,11748.49,11902.45,11572.96,11760.52,108.645536
2020-08-07,11762.52,11904.26,11503.63,11572.13,110.611031
2020-08-08,11592.57,11803.91,11527.84,11753.11,129.942061
2020-08-09,11762.89,11795.97,11530.0,11667.78,82.826894
2020-08-10,11681.74,12059.94,11442.01,11882.65,171.984429
2020-08-11,11891.62,11934.6,11119.32,11392.15,176.360102
2020-08-12,11389.33,11618.25,11146.46,11566.44,94.555925
2020-08-13,11571.37,11790.01,11276.57,11764.66,128.801882
2020-08-14,11787.67,11853.21,11638.15,11760.4,119.845929
2020-08-15,11762.81,11976.18,11691.56,11867.17,104.310058
2020-08-16,11851.89,11928.76,11692.07,11912.1,41.130538
2020-08-17,11913.37,12464.2,11770.68,12271.4,202.88071
2020-08-18,12285.28,12384.95,11820.0,11957.77,139.84325
2020-08-19,11941.63,12001.73,11565.01,11742.87,167.012969
2020-08-20,11750.08,11878.82,11678.38,11864.51,56.581385
2020-08-21,11851.42,11879.76,11490.0,11528.2,114.564867
2020-08-22,11514.42,11684.68,11384.2,11658.24,53.6814
2020-08-23,11656.27,11706.78,11515.35,11649.35,27.752399
2020-08-24,11649.27,11827.84,11385.16,11759.18,191.348515
2020-08-25,11744.45,11761.99,11125.0,11329.12,105.545491
2020-08-26,11317.73,11536.32,11255.11,11466.43,55.228375
2020-08-27,11460.4,11588.68,11125.66,11320.03,121.947578
2020-08-28,11329.22,11539.86,11275.76,11527.41,59.705649
2020-08-29,11527.41,11573.28,11420.47,11481.9,42.574429
2020-08-30,11467.58,11710.0,11467.58,11692.8,41.284754
2020-08-31,11714.43,11773.44,11575.0,11655.0,60.363601
2020-09-01,11648.13,12048.89,11532.85,11915.67,83.807537
2020-09-02,11913.71,11947.02,11161.84,11385.77,170.701557
2020-09-03,11382.69,11455.74,9976.71,10158.14,318.497458
2020-09-04,10149.12,10618.52,9907.49,10459.2,250.945714
2020-09-05,10443.53,10560.98,9826.51,10147.46,333.873799
2020-09-06,10170.2,10335.04,10002.52,10250.85,85.717951
2020-09-07,10249.99,10403.75,9875.32,10356.73,160.5332
2020-09-08,10386.73,10438.09,9844.19,10120.33,266.811627
2020-09-09,10126.18,10348.12,9981.24,10214.95,64.174465
2020-09-10,10212.98,10475.88,10212.98,10338.7,85.8209
2020-09-11,10335.36,10398.01,10201.72,10389.64,46.121523
2020-09-12,10396.34,10478.71,10274.92,10440.68,48.727279
2020-09-13,10447.72,10576.06,10215.95,10316.74,80.157771
2020-09-14,10324.08,10754.08,10247.48,10656.2,93.321583
2020-09-15,10674.48,10926.64,10617.66,10765.22,87.000065
2020-09-16,10779.76,11089.47,10667.62,10948.61,68.511269
2020-09-17,10951.48,11044.24,10748.77,10941.2,89.084524
2020-09-18,10942.84,11036.46,10814.42,10934.34,60.137806
2020-09-19,10933.91,11181.99,10894.54,11079.87,55.339778
2020-09-20,11066.01,11075.73,10763.18,10913.29,71.554164
2020-09-21,10923.84,10987.0,10298.1,10430.45,91.00968
2020-09-22,10419.57,10573.23,10361.39,10520.66,48.576996
2020-09-23,10529.4,10533.36,10145.54,10231.48,117.267695
2020-09-24,10242.56,10789.58,10209.09,10732.42,88.732532
